D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E3,E4,E5,E6,E7,E8,E9,I1,I2,I3,I4,I5,I6,I7,I8,I9,M1,M10,M11,M12,M13,M14,M15,M16,M17,M18,M2,M3,M4,M5,M6,M7,M8,M9,P1,P10,P11,P12,P13,P2,P3,P4,P5,P6,P7,P8,P9,S1,S10,S11,S12,S2,S3,S4,S5,S6,S7,S8,S9,V1,V10,V11,V12,V13,V2,V3,V4,V5,V6,V7,V8,V9,split
1.8884976538194549e-06,1.1936702097600782e-06,-9.004392456490583e-07,-1.7380588760107607e-06,-1.4145486701590932e-06,4.952391444713157e-06,-2.1030577529693265e-07,-5.759677796225979e-06,-3.307477094216543e-06,4.653851412315306e-06,-5.598926046471478e-06,-3.473620624709721e-06,4.244442704069667e-06,1.338499109741149e-06,1.6558190850780007e-05,-1.530441635003562e-05,1.243736904264145e-05,6.593314543654131e-06,5.0012493468884195e-06,1.007498639617542e-06,9.95341511169913e-06,-6.129056388273059e-06,2.6971801489721407e-06,-1.1466108255508306e-07,2.748802725338035e-06,2.913060302129916e-07,-1.788878965022047e-06,-1.1678580800406532e-06,9.96107375945443e-06,-2.4010401428397632e-05,-1.5087473272999073e-05,1.7285987889064291e-06,1.0460395696090469e-06,2.7958867587962586e-06,-9.79696653794031e-06,-3.1381122164213548e-06,1.9970676337969147e-05,-1.9602981013743648e-07,3.0719255604859883e-06,1.9569864580554886e-06,-5.5853377542060205e-06,-1.2267358094296711e-05,3.077231287841034e-06,3.638794610854666e-06,1.728039379856251e-05,-7.842022731238418e-06,7.193108300086689e-06,5.313536178416783e-06,-7.131598060789929e-06,1.335960623629572e-06,1.6409752246276797e-06,1.8989902248872088e-05,-1.481994382271522e-06,2.058966065237973e-06,-1.7376695281161251e-06,2.2469085786899037e-06,-4.93178865987586e-06,-8.297948515450772e-06,-4.0031055486041036e-07,1.7537277900019475e-05,1.763295404015625e-05,-1.7858180958411668e-06,5.725104424085688e-08,-8.848494738985698e-06,-2.5748427892779983e-05,-2.0869987191411167e-06,1.1381730803777003e-05,-1.2455796108851686e-06,-2.220708773374944e-05,2.13067381688511e-06,-9.86457711504951e-06,3.663332693068125e-05,9.895625448899794e-06,-1.105460389168035e-05,1.250410269998738e-05,-1.971355791666721e-05,7.102428393800977e-06,3.455102600105639e-05,-1.82467540393501e-05,-5.025029796524509e-06,8.22992432680864e-07,2.1576563092677807e-05,1.2803917509251027e-06,-2.683487245383868e-05,3.801721052396946e-06,7.400719787638086e-07,1.768620362704068e-05,8.623713350688016e-06,-6.65794547538455e-06,6.519770809238871e-07,1.606830260083714e-06,-5.797689176543435e-08,2.851514474164816e-05,-8.168955775713202e-07,0.0
3.4931351002103364e-06,1.631318912477458e-06,-2.1396013443567953e-06,-3.411707913293549e-06,-3.613743627945259e-06,-1.0006957127718953e-06,-1.6197140727107234e-08,2.2293491053869433e-05,-1.7924588841017313e-06,8.021400670167688e-06,-3.2843336631646576e-06,-3.795357646393082e-06,5.3353868217870335e-06,1.3592218665937737e-06,1.7780114207802977e-05,-8.826613854483151e-06,1.338844261524376e-05,7.741365974755425e-07,6.054100154872926e-06,2.795428353749755e-06,1.0985881663625905e-05,-5.903747179747562e-06,3.974618658565658e-06,-6.81783470317285e-08,3.5823620787798565e-06,1.161502364015043e-06,-1.9423905819895313e-06,-1.634482825584874e-06,5.3521935058481856e-06,-2.2738914131183772e-05,-1.2142522356886134e-05,1.3729751429847415e-06,-4.878191403760606e-06,2.285568670837825e-06,-1.2295690598092496e-05,-2.9406737587382374e-06,2.1118181195494908e-05,-1.8219745924525132e-07,2.4719872828260935e-06,-2.859792481091358e-06,-7.405126868174261e-06,-1.0471698636486762e-05,1.3050437987689442e-06,8.303355047692513e-06,1.771642196681376e-05,2.8947680427127174e-06,5.458836389666246e-06,1.0117302531003585e-05,-2.5912541531114713e-06,9.021912199589563e-07,2.0266141086205865e-06,1.5437925334776943e-05,-7.628017706244696e-08,2.192539615773619e-06,-7.066669019379274e-07,1.6214616738388236e-06,-3.1019073716336027e-06,-4.500734204663169e-06,2.719934817862119e-07,1.362133929999367e-05,1.8402336407393584e-05,-1.5434872616680434e-06,9.046858544154876e-07,-1.4065186325465444e-06,-3.415084797359931e-05,-2.117633794304957e-06,1.0017716080066636e-05,-1.5833012280903915e-06,-2.7715238615394345e-05,2.4862430231447633e-06,-3.7676903506877843e-06,1.7545696535266682e-05,4.508315874886762e-06,-1.2205054239448855e-05,9.714159309685856e-06,-1.5170273685636481e-05,1.4504561981992485e-05,3.100561911912161e-05,-1.7763123223852423e-05,-4.749030071825434e-06,6.452497230661026e-07,1.5619605638220812e-05,5.008309847661831e-07,-3.0492435934394782e-05,5.406280508436959e-06,3.20462226432072e-07,2.133245514509068e-05,2.0508287030104804e-05,-4.3394222691141905e-07,8.170229244947808e-07,7.375178284964598e-08,1.4943183707592753e-07,2.834023381342032e-05,-4.0266009742196414e-07,0.0
5.921142999318525e-06,2.0847023211403783e-06,-2.367937070145613e-06,-5.269731598913036e-06,9.226127554184643e-06,-1.526175445156574e-06,2.507564987048032e-07,2.2338127659456704e-05,-3.953253119032449e-07,1.0479876682446516e-05,-1.9772547836001958e-06,-4.212324100878076e-06,5.3380705086587705e-06,1.4944041220311043e-06,2.1084340007433195e-05,-4.293903873691104e-06,1.4063987828215013e-05,-4.145451577974337e-06,7.49783103709007e-06,1.1964512559512786e-06,9.90431459595503e-06,-4.853659861478611e-06,4.640651495575636e-06,-6.233641330618958e-08,4.017513262073144e-06,1.3294179113763503e-06,-2.147600923812476e-06,-1.8071251303211677e-06,1.923807710606232e-06,-2.0114336321542418e-05,-9.923280217799791e-06,1.5998389003956698e-06,-8.519404606901923e-06,2.2568654887130663e-06,-1.4489862521068863e-05,-1.8253840368744514e-06,1.8177899035297416e-05,-6.164249097796258e-07,2.996178659112558e-06,-4.676194880244768e-06,-9.202506388691192e-06,-9.540766605186193e-06,2.3048842361367094e-07,1.3561433059192016e-05,1.814103919235892e-05,9.827484261299452e-06,5.521073940943939e-06,1.1658852306848703e-05,4.302465200439538e-06,4.3784941417963934e-07,3.1423468143420312e-06,1.6753526448766525e-05,5.903187103140226e-07,2.4979501098028583e-06,3.30853678490224e-07,7.894124090489601e-07,-6.186861843308692e-06,-3.0560349025894767e-06,2.4505142824525732e-08,1.0655332709764055e-05,1.6038144804666872e-05,-1.8098129472594274e-06,-1.0091367132105934e-07,1.1176023890208831e-05,-3.0656789020852844e-05,-1.960672430625842e-06,1.1003084136641708e-07,-1.6672911359854828e-06,-2.9550335399441354e-05,3.384422594590482e-06,-3.854479965238892e-06,1.632720369597191e-05,-4.506517403528424e-06,-9.802178868986832e-06,7.197051951326197e-06,-8.901417196575148e-06,1.0957010436122071e-05,2.7084871045513434e-05,-1.5864000938374936e-05,-3.3887799544385085e-06,2.0932199289028435e-06,2.933970020866249e-06,4.326088333059182e-07,-3.094784298256882e-05,4.802908621334118e-06,3.803900405561673e-07,1.9397750220958237e-05,1.8544681447400577e-05,5.7501590422445756e-06,1.0089646242282644e-06,-1.2264213229895677e-06,3.599573034977107e-07,3.1374641430678376e-05,-3.73428737915118e-07,0.0
1.5697732518146723e-06,4.7446899874350525e-07,-2.387290765404409e-06,-6.450484809569945e-06,1.3867402219664912e-05,-1.226697391359034e-06,5.008999376087951e-07,2.1897225877641468e-05,-5.229022132109205e-07,9.636425779517996e-06,-1.4817705413368443e-07,-8.257879201526215e-06,-4.091051842393731e-05,-9.429457618983182e-07,-9.988974769980385e-06,-7.546689350024933e-06,1.3414587554807524e-05,-8.19089683412036e-06,9.323585432064863e-06,2.709896518054151e-06,1.3454141213624619e-05,-4.390393158392327e-06,5.438533850309029e-06,-6.986413982363043e-08,4.3319005094109414e-06,1.6889807615107412e-06,-1.8199445886193728e-06,-1.7535729445909985e-06,7.170363452719958e-07,-2.006579996281484e-05,-1.0843207216000756e-05,1.394823900609197e-06,-1.0144170998996928e-05,2.094685341818981e-06,-1.7449011356772715e-05,-1.3450922579454696e-06,1.8951491234843258e-05,-7.016694615543267e-07,3.306918077410315e-06,-5.8536772185881895e-06,-9.990764666735819e-06,-7.407809633844745e-06,6.905474081267077e-07,9.668485696429173e-06,1.711487307160191e-05,1.5988585470391118e-05,4.901838474593948e-06,9.228250804260202e-06,1.222402833728151e-05,-5.791512633929018e-07,6.421100347950517e-06,1.34748546656679e-05,4.198073726910196e-07,2.846047772447464e-06,6.669198124076964e-07,1.3527800269801801e-06,-1.6452190116193195e-06,-1.9205410077370244e-06,-3.1642354061136075e-07,7.71012546762271e-06,1.9328880731450015e-05,-2.2648432033738808e-06,-4.6158440580895757e-07,9.891419486247842e-06,-3.854687702108887e-06,-1.3567610854978822e-06,-1.9046485166928395e-05,-1.4804903410959856e-06,-2.9161559574408146e-05,3.5613392744900743e-06,-4.686158797417074e-06,1.686139130159452e-05,3.289699437210052e-07,-8.93081418456518e-06,6.548846043761096e-06,-1.0470284337579182e-05,1.0339079915817552e-05,2.498965972704546e-05,-1.2412423186408326e-05,-2.812691821191576e-06,7.641075384854207e-06,5.562818746470389e-07,7.199808892033489e-07,-3.1338180144976346e-05,6.586913781150591e-06,6.466519995355307e-07,1.9381408038944937e-05,1.6204227310881323e-05,1.0891005470387192e-05,-2.437651468228955e-06,-3.7630945544399894e-08,3.65758912452475e-07,3.309537482493036e-05,-2.661838885923312e-07,0.0
8.088496177093789e-07,-7.23530691659536e-07,-4.791892762156296e-06,-6.597547164006417e-06,1.5764059863731953e-05,-8.952993792174036e-07,3.860705894595339e-07,-3.609530117528099e-06,1.5352157348693684e-06,9.950002546420533e-06,3.4238388347416656e-06,-7.701846123469017e-06,-4.0884395936105784e-05,-9.558307179169193e-07,-8.29431502883529e-06,-8.196028981348565e-06,8.598279655538482e-06,-7.785749922561003e-06,6.068407179946453e-06,3.2320352838444892e-06,1.2685666870557041e-05,-3.532071028171794e-06,6.733798913012789e-06,-4.758495633432026e-09,3.833633291342711e-06,3.118900678912611e-06,-1.5186797030158748e-06,-1.6429365481712167e-06,-1.1520269596084109e-06,-1.969420785002297e-05,-1.3794204051172484e-05,6.710712862600368e-07,-9.303875878367622e-06,2.465248253365287e-06,-2.6657370781001028e-05,-9.107214129115674e-07,1.7648491640034847e-05,-2.2670137863007386e-07,3.4152280589673576e-06,-8.48333348032283e-06,-9.580542981131108e-06,-5.982204239502057e-06,3.631664584351433e-06,6.334294808000471e-06,1.3643618797426055e-05,1.7559405297672308e-05,6.063006114340625e-06,8.667245343356562e-06,6.076687927448329e-06,1.0050204464867828e-06,8.28393340233609e-06,1.2878826731132906e-05,1.333301524282247e-06,2.668233794587803e-06,1.0409743162250847e-06,1.2780524787455244e-06,-2.9914430403686666e-06,-2.7616230704390727e-06,-5.381086384452229e-07,6.396567886827142e-06,1.8731350339560602e-05,-2.5057379029286836e-06,1.3578837914776856e-06,6.318227097346479e-06,7.490862368548902e-06,-1.1451828151909023e-06,-5.45659814726185e-06,-1.2936400779975734e-06,-3.035667685825244e-05,3.1545138992856845e-06,9.626672427630813e-07,2.8436596071411564e-07,5.811686629292346e-07,-3.5265162357882054e-06,3.0597136909165316e-06,-8.43909899709778e-06,1.2002530690924224e-05,2.426867910835763e-05,-1.1821955091329195e-05,-2.1950471118155433e-06,6.573420201601225e-06,5.232199445519705e-06,1.0707657415909007e-06,-2.3980475029094305e-05,5.134115023557324e-06,1.5774424753906806e-06,1.820449661132172e-05,1.8127360808615835e-05,1.1077564247447825e-05,-3.3783300441799307e-07,-2.834556847454975e-06,3.892744777413604e-07,3.830226568394871e-05,-2.4797400933300026e-07,0.0
2.925399612956109e-06,1.5405741459011872e-06,-2.2728793649978014e-06,-8.09665981100218e-06,1.4553078700538661e-05,-5.257727432678384e-07,7.206554492768702e-08,-4.174164972017966e-06,3.4644240599595223e-06,9.128978596664026e-06,4.121931963100608e-06,-7.156819570979415e-06,-4.0952032597228685e-05,-1.00586035596648e-06,-6.741853710481821e-06,-1.0183284971376231e-05,6.4000020693544565e-06,-4.542120323653903e-06,1.048439233058568e-05,4.016212355583624e-06,1.5869558784530213e-05,-3.2952592790683613e-06,8.462084814921863e-06,1.177718088182203e-07,4.136540915739536e-06,1.821625161941834e-06,-1.431380824223322e-06,-1.1919456953252634e-06,2.2078704145682953e-06,-1.9657222087840063e-05,-1.4031344060942007e-05,5.776146826589928e-07,-5.869480359979038e-06,1.9556968568771714e-06,-2.3817433848703066e-05,-1.913699478377927e-06,1.766370452586739e-05,-1.049059531275715e-06,4.858225841628857e-06,-6.021081083693962e-06,-1.0241654122577224e-05,-5.061191319704441e-06,3.839739014112923e-06,2.4988012500080546e-06,1.0574240308273317e-05,2.0077643760232473e-05,5.75421281325268e-06,8.648162049292131e-06,9.443914617902381e-06,-1.8177088078280155e-07,9.236163666220472e-06,1.506021742939725e-05,1.3587200261660996e-06,2.5751860810847657e-06,1.6788945411411533e-06,5.969544943297433e-07,-5.955908432278071e-07,-1.1376087330417813e-06,-8.481325810705841e-07,7.69825935530991e-06,1.4217991883478412e-05,-3.018111237139684e-06,5.4846548879825645e-08,9.87482669016263e-06,1.2613410530099384e-05,-1.1114449021801958e-06,-1.619926228038917e-05,-1.0448603434586349e-06,-2.4869077463084655e-05,3.1828311967831878e-06,-1.079792707529754e-06,4.545485684403898e-06,-1.9541999774820763e-07,-2.3744509979947753e-06,2.872090412382072e-06,-9.495838868329363e-06,1.0488020068727518e-05,2.780062239959713e-05,-1.1143625456967905e-05,-1.8090730358136991e-06,6.2975742509512655e-06,5.2685095428649694e-06,1.980535921353533e-06,-2.6564107276033886e-05,4.118792851196244e-06,2.5511938751415114e-06,1.3112576788800472e-05,1.4141005743891921e-05,1.3634432698708298e-05,-1.1831761957926777e-06,-2.0600445091611304e-06,5.492134480798979e-07,3.490401719497756e-05,-1.9583503133705975e-07,0.0
4.228757301877535e-06,2.3518240166782684e-06,-2.502309696590016e-06,-1.0856511547891963e-05,-1.4729354114971382e-06,-3.307791087740361e-07,-4.495835309737167e-06,-2.154499727855891e-06,5.5243566012186425e-06,5.896314444684534e-06,6.431060401226766e-06,-4.83730472174822e-06,-4.0543429833917965e-05,-7.907142608512697e-07,-4.912270052639327e-06,-1.1845627235928154e-05,7.677020220329484e-06,3.093633497836551e-07,3.957608905729178e-06,3.7390918806231165e-06,1.3149036312987103e-05,-3.4585252549745465e-06,7.619573291105876e-06,2.283769186565775e-07,4.1774415044265165e-06,2.720667877643877e-06,-2.3586204569269876e-06,-1.17439917156157e-06,-1.7940674031719008e-06,-2.1703184780681328e-05,-1.4817444194356418e-05,5.330330916181411e-07,-3.649178734405852e-06,3.679696703352586e-06,-2.6102371539896978e-05,-3.1892845683868256e-06,1.7704996102499064e-05,-1.330111032308617e-06,4.7587876131806865e-06,-2.8628388084609444e-06,-1.1341533241135377e-05,-5.283258589756448e-06,2.354802176298306e-06,6.7506030390825145e-06,1.007099009734451e-05,1.4751577768384173e-05,5.879427523275516e-06,7.204823459677332e-06,3.790976415434271e-06,6.266049667085832e-07,1.0126392119217275e-05,1.4798351086466473e-05,-2.1280529195896227e-07,2.1426020721514537e-06,1.5483731685618668e-06,-2.7343462187560333e-07,1.8827671439525128e-06,-4.717746841421497e-06,-1.6584814500015223e-06,8.179846291865038e-06,2.0158295977799994e-05,-3.417704827526146e-06,-5.462261297889162e-07,-1.2334480341550155e-05,1.4528174976315277e-05,-5.950167527943051e-07,-5.514397174363647e-06,-7.70128574345148e-07,-3.2702766706136086e-05,2.8545248183950146e-06,-4.651126266217713e-06,2.18004845988469e-05,9.708700073743738e-07,-1.0422309557643813e-06,2.496751618489697e-06,-1.6819547247352837e-05,1.398524067398136e-05,2.801645910026082e-05,-2.224678068599484e-05,-8.698891472036904e-07,3.121828822982079e-06,5.149692758520785e-06,2.192553724621703e-06,-2.6232765649305474e-05,3.1041849563338533e-06,2.501348803217562e-06,1.630531805827311e-05,1.4209108763524499e-05,8.730442554458067e-06,-7.042389501787574e-06,-3.7358652734390284e-06,4.461681161514786e-07,4.019653379700851e-05,-9.983579444383062e-08,0.0
4.1144343802626985e-06,2.7726239644339583e-06,-4.898597204099769e-06,-1.0975933504246055e-05,-1.888607178633821e-06,3.5194738515901997e-07,-2.802936527237725e-07,-2.5524184986060727e-06,-1.5345727359969506e-06,7.5995147485903425e-06,6.035978192933939e-06,-5.59066813301107e-06,-3.96300808443545e-05,-6.531413975542996e-07,-4.133505593768962e-06,-1.2507525199034928e-05,8.114942481947955e-06,3.5214973481528524e-06,9.764989737431609e-06,6.8950643649276215e-06,1.898095877201461e-05,-3.9102698329198425e-06,7.961633379517553e-06,3.6829490957291926e-07,4.687239348973804e-06,3.710242388962451e-06,-1.7529947347065406e-06,-9.914383468929205e-07,9.624233892902862e-07,-1.8705010576729164e-05,-1.4571833864517403e-05,3.911312277407397e-07,-4.327236821069573e-06,4.304057570026154e-06,-2.8508918591555284e-05,-4.416517431753713e-06,1.6097986172637572e-05,-1.2640196821564785e-06,4.8863050591974476e-06,3.299439610468775e-07,-1.1587736046438208e-05,-6.022732707937073e-06,3.0128111165269492e-06,7.0840830230727e-06,9.294852809812932e-06,2.0899771223955904e-05,4.505003791940282e-06,7.298950391046853e-06,1.958952495370555e-06,8.03086985588249e-07,1.2492305682457626e-05,1.4511081611209866e-05,-5.094213066016756e-07,2.834970284619062e-06,5.974152563029098e-06,8.993331108497784e-07,5.181718282316172e-06,-2.463429009835441e-06,-1.0571695671258429e-06,4.903109744348777e-06,1.440848878148893e-05,-3.274098203540506e-06,1.073618752188427e-06,-1.1459022260757392e-05,1.205568868136336e-05,-3.3895255051170916e-07,1.273918985199087e-06,-9.828656494560402e-07,-3.4859047878772174e-05,2.9054119917400206e-06,-6.1925726260008236e-06,2.0441185927450576e-05,-1.634485276004783e-06,-4.713257336225758e-07,1.4145928622614267e-06,-1.1088445063405707e-05,1.1383640154810492e-05,2.5188446164787302e-05,-2.367797872176042e-05,-1.5608910787002902e-07,1.6457339668647958e-06,4.296827406552604e-06,1.4510205734169227e-06,-2.8661430951035805e-05,5.067808716849788e-06,1.7358155358743372e-06,1.8006952526016382e-05,1.6937520479516407e-05,9.632822369863003e-06,-5.501797723100736e-06,-6.662085778496747e-07,2.3667814428049376e-07,3.6964360347937816e-05,-1.0373267713926606e-07,0.0
1.912061946701157e-06,8.979487846825324e-07,-2.719117146905119e-06,-8.81982047117555e-06,-1.808089295955107e-06,7.490152461607264e-07,-1.5958524009841973e-07,-3.866682511468949e-06,-2.510392858922131e-06,6.485991332071014e-06,5.725449705392563e-06,-4.6722159457308874e-06,-4.261074442180644e-05,-5.634191751207292e-07,-3.101310303774824e-06,-1.3731640701859813e-05,7.267289494751823e-06,3.4456603701327503e-06,1.0755716418141965e-05,4.0334263101889935e-06,1.8523615670766984e-05,-4.507991294331241e-06,5.927201950034441e-06,5.568021006568979e-07,5.015352590951468e-06,3.3118517474188044e-06,-1.9141885929232616e-06,-9.738620345462173e-07,1.6232053320553867e-06,-1.8922916843981608e-05,-1.5017868194752571e-05,4.038008339586059e-07,-5.733620160213501e-06,4.879233186849761e-06,-2.7555244714103097e-05,-4.623075529298267e-06,1.7979642875329e-05,-1.2462376983483046e-06,3.890600423182461e-06,-1.5850382244605803e-06,-1.1609002499916881e-05,-7.392006524445044e-06,2.0318857414859917e-06,6.431817196904148e-06,8.196892570007887e-06,1.6756512805300746e-05,4.681811670892508e-06,6.179385766476866e-06,-7.683846282141755e-06,3.849423383054522e-08,1.1335867727470823e-06,1.2759773259899387e-05,-1.0159221786605034e-06,2.6216001898421085e-06,2.1937835651377115e-06,1.8794803284189403e-06,5.6422452649605386e-06,-2.1824656305808426e-06,-9.88891875169737e-07,3.7345654313315302e-06,1.928096834973725e-05,-2.5698440260407853e-06,1.191493051178231e-07,-1.503425820916182e-05,1.3472398585884495e-05,6.978834326188595e-07,1.8668881857858138e-05,-1.5115897597786643e-06,-3.749565887526339e-05,2.9252197763953976e-06,-6.844964661529844e-06,2.1807548107711294e-05,5.346890880756614e-06,-1.078132917188857e-06,5.60690748101005e-07,-1.0250127049935683e-05,7.903920226112512e-06,2.772998426810886e-05,-2.2601861121604168e-05,6.383612480635074e-07,7.199638236829125e-06,7.749429112063116e-06,4.0172111872929966e-07,-3.076127842052267e-05,5.682451335925065e-06,1.2915752198486722e-06,1.7005405845171194e-05,9.627008155027653e-06,8.037043793316248e-06,-7.162600706129918e-06,-5.687234885493308e-07,1.4762513738195246e-07,3.762807000716972e-05,-1.3912772435646707e-07,0.0
3.0912977587721545e-06,2.8913096711941608e-08,-2.7608816782543635e-06,-9.005273533702122e-06,-1.926121550893201e-06,8.509391842464995e-07,-2.9158202527502033e-07,-3.1768105067064585e-06,-1.453822178939016e-06,5.963295043722334e-06,4.719970841585473e-06,-3.75717857086035e-06,-3.9546836202467435e-05,-4.88707563854799e-07,-1.6555423212556769e-06,-1.4097584305932556e-05,7.772752985558442e-06,2.725584749027541e-06,1.0956860789051049e-05,5.473803215697557e-06,1.9249269673152107e-05,-4.033411906453295e-06,5.9138032067568815e-06,8.782609652107938e-07,4.807263038985801e-06,3.393137909972734e-06,-1.5663030614084043e-06,-1.5283436309632424e-06,-7.151525786989894e-07,-2.1734922254117173e-05,-1.5225291348193418e-05,5.425098188024648e-07,-6.290362913632684e-06,4.175641389811811e-06,-3.021533007101028e-05,-4.283317880620441e-06,1.736112412378951e-05,-5.846457834596415e-07,4.089967212529379e-06,1.541360821905163e-06,-1.1149440721831127e-05,-5.687685244448621e-06,2.168355367984524e-06,8.279614753373515e-06,4.3290786135647685e-06,1.866822502169412e-05,4.2341671964579645e-06,9.056369208191537e-06,1.0015543212443388e-05,-6.676609547319878e-07,2.900103025942518e-07,1.3288701234612924e-05,-9.955886686697267e-07,2.4714898178817814e-06,2.936984606970329e-06,2.5391803411963083e-06,5.667937607950157e-06,-3.964154203780242e-06,-1.312659498256842e-06,4.70437323992512e-06,2.390468662315362e-05,-2.8789415472308306e-06,3.1487963301238924e-06,-9.126013899583636e-06,1.329737261898182e-05,7.562105351274177e-07,-1.1507531022179789e-05,-1.408123211051623e-06,-3.609733034002943e-05,4.0236810974355795e-06,-5.161391515085668e-06,2.268672372935627e-05,9.285553746937398e-06,7.462938146238443e-07,-2.2721353642957286e-07,-1.408738521358183e-05,8.421008655476407e-06,2.6309078956654896e-05,-2.3789565702919356e-05,9.637108426316368e-07,7.158689172732261e-06,2.546469364038268e-06,3.496456353853909e-07,-3.0582207679202936e-05,5.49329299424798e-06,9.314967316194574e-07,2.1055606837989907e-05,1.4456007137402298e-05,9.245315787668037e-06,-6.3378293424024165e-06,-3.0116307422987946e-07,-4.841127723097801e-08,4.008249184992799e-05,-2.141460997126098e-08,0.0
