feature,mean_abs_shap_value
E18,0.00010665025289772562
I6,8.138512649494445e-05
V3,7.937434048046743e-05
M18,7.741311758730982e-05
M10,7.526144025461108e-05
P13,7.362436380274464e-05
V1,6.441225837932849e-05
S7,5.9538929526873825e-05
S6,5.6128325564433595e-05
S11,5.536570986206636e-05
M13,5.289163104525044e-05
P12,5.098002302513815e-05
M6,4.68387021396851e-05
V8,4.547658312081848e-05
P3,4.389379011599426e-05
M16,4.195843484094294e-05
I5,4.131425307811471e-05
D5,4.131127138584341e-05
I4,3.946623982935046e-05
E12,3.886128613054972e-05
