window,batch,lr,hidden,dropout,r2,rmse,best_val_loss
40,64,0.0001,256,0.5,0.023716866970062256,0.010953393220529602,6.0993657825747505e-05
20,64,0.001,128,0.3,0.020619750022888184,0.010761042595736205,8.550984057364985e-05
20,32,0.0005,64,0.2,0.020075976848602295,0.010764029362126802,8.518848335370421e-05
40,128,0.0001,256,0.5,0.017498016357421875,0.010988224382466097,6.057902646716684e-05
20,64,0.0001,256,0.5,0.01713460683822632,0.010780172151071072,8.598635031376034e-05
30,64,0.0001,256,0.2,0.014140069484710693,0.010921701115217777,6.327521259663627e-05
20,32,0.001,128,0.2,0.013469696044921875,0.010800251781250223,8.553417137591168e-05
30,32,0.0001,256,0.2,0.013360857963562012,0.010926016525198642,6.294794729910791e-05
30,64,0.0005,256,0.2,0.012967586517333984,0.010928193897973743,6.525241042254493e-05
40,64,0.0001,256,0.3,0.012230336666107178,0.011017641503711852,6.083223706809804e-05
40,64,0.0005,128,0.5,0.010500669479370117,0.01102728362426825,6.148652028059587e-05
20,32,0.0001,256,0.5,0.010385334491729736,0.0108171221386233,8.453201007796451e-05
20,128,0.0005,256,0.2,0.009639859199523926,0.010821195848351981,8.660594903631136e-05
20,32,0.0005,128,0.5,0.008208155632019043,0.010829014486197906,8.52731172926724e-05
20,32,0.0005,64,0.5,0.007663249969482422,0.010831989227418726,8.673918637214229e-05
40,64,0.001,128,0.2,0.006592392921447754,0.011049039987441542,6.114799907663837e-05
40,64,0.001,256,0.5,0.006381094455718994,0.011050214715599404,6.183110235724598e-05
30,32,0.0005,256,0.5,0.00594407320022583,0.010967006514686418,6.358632526826113e-05
20,32,0.001,64,0.3,0.005408167839050293,0.01084428998900549,8.530361810699105e-05
40,128,0.0005,128,0.5,0.004351496696472168,0.01106149470405622,6.122694321675226e-05
30,32,0.001,64,0.3,0.004150509834289551,0.010976895614381024,6.317510997178033e-05
20,128,0.0005,256,0.5,0.0040781497955322266,0.010851538169197952,8.57985214679502e-05
30,64,0.0005,256,0.3,0.003619670867919922,0.010979821013242219,6.26187538728118e-05
40,32,0.001,128,0.3,0.0035263895988464355,0.011066077120333794,6.121787737356499e-05
20,64,0.001,64,0.5,0.0025815367698669434,0.010859688389946416,8.499078103341162e-05
40,32,0.0005,256,0.3,0.0019137859344482422,0.0110750280074892,6.151911657070741e-05
20,64,0.001,256,0.2,0.0009862184524536133,0.010868369754838335,8.615172555437312e-05
20,32,0.001,128,0.5,0.0009405016899108887,0.010868618457025346,8.591965161031112e-05
30,128,0.0001,128,0.3,0.0005324482917785645,0.010996817839485763,6.272028986131772e-05
20,64,0.0005,128,0.5,0.00040519237518310547,0.010871530158889108,8.648658695165068e-05
30,128,0.0001,64,0.5,0.00027120113372802734,0.010998255163009538,8.090887422440574e-05
20,32,0.0001,128,0.5,-0.001215219497680664,0.01088033782727239,8.579192217439413e-05
40,32,0.0005,128,0.3,-0.0021969079971313477,0.01109781127537421,6.12782096141018e-05
20,32,0.001,256,0.3,-0.0023164749145507812,0.01088631993710629,8.414484182139859e-05
30,32,0.0005,128,0.5,-0.0028696060180664062,0.011015517479671099,6.282970571191981e-05
40,32,0.001,128,0.2,-0.0030040740966796875,0.011102279088458346,6.091330578783527e-05
40,64,0.001,256,0.3,-0.0032219886779785156,0.011103484880074349,6.203891098266467e-05
30,64,0.0005,128,0.5,-0.0035920143127441406,0.011019484832589677,6.34522148175165e-05
40,32,0.0005,256,0.2,-0.003659367561340332,0.011105905242567726,6.178823969094083e-05
40,64,0.0005,64,0.2,-0.004045009613037109,0.011108038838822634,6.212480366230011e-05
30,32,0.0005,256,0.3,-0.0041124820709228516,0.011022341498650234,6.302182009676471e-05
30,64,0.0005,256,0.5,-0.0041844844818115234,0.011022737227478777,6.349426257656887e-05
